"game_title_name","game_title_game_age","game_title_kid_review_name","game_title_parent_review_name"
"God of War (2018)","age 17+","While God of War used to be an ultra-violent and gory video game series, the latest entry has changed a lot. Not only has the violence been toned down a lot, but the game now has a more mature storyline. In the first few games, players were tasked with hunting down gods from Greek mythology and killing these deities out of hate. God of War 2018, on the other hand, features a main character who wants to scatter his wife's ashes with his son. Kratos (the protagonist) seeks redemption for the violence he has committed.
The content is still violent, but decidedly less so. There is no drinking or use of substances. There is some minor swearing, such as b****, but any bad language is kept to a minimum. There are no sexual scenes.",""
"God of War (2018)","age 17+","Gone are the days of Kratos over the top, cartoonish anger issues along with the gratuitous vulgarity and offputting nudity of past games.....And THAT is a very good thing. The action is more engaging, grounded and visceral than ever with a third person 'over the shoulder' camera angle. There is a more one on one approach to combat this time instead of mowing down hordes, ala Dynasty Warriors, with the enemy types being detailed and gritty, although repeats and repaints are frequent.
To equip for your questing, Kratos' armor &amp; weapons as well as his sons clothes and bow are upgradable along the journey. There are many moves and attacks to attain along the way with plenty of ways to dispatch enemies with multiple skill trees. Kratos axe reacts like Thors hammer from the Marvel franchise and returns to his hand when thrown with a single button press. Kratos also uses his bare hands and retractable shield for attacks and combos while Kratos son, Atreyu, fires sometimes by himself, but also on your command with the same onscreen reticle as your axe. Later on you obtain Kratos' traditional GoW weapon as well adding a ""fire element"" weapon to your Frost Axe, which later comes into play with elemental enemies. In battle, Atreyu will frequently yell out warnings to incoming attacks which is complimented by onscreen, directional reticles that turn color as enemies approach.
To tie it all together the story in surprisingly very well done, heartfelt and engaging which drives you to experience each step. I think the one thing I truly loved is the father, son dynamic. It is interesting, gritty and and seems to bring to life and encompass it's beautiful, yet often harsh surroundings. It truly feels like a expansive, very cinematic journey.
One ""gripe"" I had initially was that the controls cannot be customized. The right trigger buttons are the attack buttons and holding the left trigger gives you a reticle to throw and shoot with using those same action buttons. There is no ""jump"" button, but Kratos traverses with an action button which causes him to leap or climb when needed. There is also a dodge, a 2 stick button 'god rage' mode for overwhelming situations and a block, parry mechanic that is also used in Kratos' hand to hand combos. The fact that the game has a 4 tiered difficulty setting which you can change at any time is a nice and welcome touch making it accessible to everyone and challenging for those who want it.
To sum it up, the best description I've heard is that this game is ""Dark Souls would be if it was approachable and accessible"". The somewhat slower pace but more visceral execution of combat sets it apart from the series prior entries and Kratos' engagement strategies have a larger arsenal with a more thoughtful and gritty interaction that makes it feel all the more real and threatening. This is not a hyper paced hack and slash or DMC/Bayonetta style game, but if you enjoy those then there's a good chance you may enjoy this one as well, the change of pace might do you good. HOWEVER, be forewarned that bosses are repeated, especially in the later half with 9 of a very similar type are needed to be tracked down, each of which will test your knowledge of the game mechanics and ability to discern patterns, openings and tactics. It may become exhausting to many, it definitely did for me. I'm still not sure if I will get the time or motivation to actually wrap it up myself.",""
"God of War (2018)","age 17+","NOT AS BAD AS PREVIOUS GOD OF WARS. The violence is toned down considerably, some guts can still be seen if you do a glory kill, avoid those and you should be fine. The language is minimal, the only bad language is when you trade with brock who uses the f word sometimes. The story is great there is no sexual content, but Kratos does mistreat his child sometimes, not physically, but he just isn't a good dad. Kratos is a great role model, because he is trying to bury his wife and strengthen the bond with his kid, and he never kills if he doesn't have to",""
"God of War (2018)","age 17+","Very good story and gameplay",""
"God of War (2018)","age 17+","God of War takes a huge risk by completely reshaping the formula that has defined its past game. The result is emotionally compelling story about a father and son. Gameplay is as fluid as ever, even though its not as fast as previous games. Also l, unlike its previous games there is no sex and swearing is very limited. Suitable for teens.",""
"God of War (2018)","age 17+","This game has managed to turn an anti-hero into a (slightly) good role model for kids. Yes, there is combat in this game, and the protagonist almost always kills. However, the violence is toned down both because Kratos doesn't want to scare his kid and because the enemies are coloured blue or orange, which makes the deaths look cartoony.
The other positive is that the main character seeks to protect his son, and never picks a fight if he doesn't have to.
There is one very violent scene where the main character fights a dragon. However, players only fight the dragon to protect one of their friends in-game.
As for the actual quality of the game, this game is amazing and a must play if you can stomach some swearing and violence.",""
"God of War (2018)","age 17+","God of War is easily my and my son’s favourite game on the PlayStation 4. Graphically it is incredible, story and gameplay equally as good.
VIOLENCE: 8/10 Blood and gore, the most violent taking down a huge dragon with red blood and leaving a gaping hole in its face. Blood and gore is infrequent though, most violence is acted upon monsters, with non-red blood or no blood at all, however it does involve dismemberment of aforementioned monsters, but them being monsters and with the aforementioned blood description, it all looks very cartoony.
LANGUAGE: 7/10 Infrequent bad language but the word f**k is probably the most used across the game.
SEX: 3/10 One reference to it where the word f**k is used in a sexual context.
THERE ARE NO OTHER FORMS OF INAPPROPRIATE CONTENT",""
"God of War (2018)","age 17+","This game is fine for mature 11+ year olds",""
"God of War (2018)","age 17+","It's a fun game and I think it's a harmless with a bit of swearing but otherwise fine",""
"God of War (2018)","age 17+","(MINOR SPOILERS) This is a fantastic game, and if you can, play it immediately. This is probably up there in my top ten games ever. So without further ado, let's jump into it!
Violence: Yes, just like the old games, it is very gory, but not unnecessary, as it has its purpose. Spoiler free examples include: Ripping a draugr's body in half (the blood is yellow), chopping up enemies with your axe, and beating people to near death.
Language: The language is very infrequent but includes: ""S--t"", ""C--k"", ""Ass"", and ""F--k"".
Drinking/Smoking: The only reason I include this is because a brief scene were Kratos (the protagonist) gives his son a jug of alcohol from Greece, to which the son spits out. Very heartwarming scene.
Overall: Fantastic game, I recommend to anyone.",""
"God of War (2018)","age 17+","Uhh yeah this game contains violence, but its not realistic at all... its more like cartoon violence, the atmosphere gives you a feeling of platform game for teens/adults, i would imagine the main audience for this is boys age of 12 to 19. There is a lot of battling and slashing and ripping your enemies, but it is not done in realistic manner at all... Only few enemies you fight resemble human.
The story is way overrated thought, its just mythology turned upside down, nordic/germanic gods are turned to villains and nordic/germanic villains are turned to good guys ( For example in this game the Aesir god Thor and Baldr are ""bad"" and the giant serpent Jordmungadr is ""good"" ) so basically it just gives your kids a twisted history lesson, kind of if you made a christian game and made Jesus the villain.
Oh and there is quite a bit of swearing, done by a specific dwarf ""Brock""
All in all, nothing that a 14 year old kid couldn't handle, they have seen A LOT worse in movies. I would rate it even lower, but i think it gives you wrong idea of nordic mythology, so i think you should be 14 to understand that it is just a game and not a lesson in nordic mythologies :)",""
"God of War (2018)","age 17+","Uhh yeah this game contains violence, but its not realistic at all... its more like cartoon violence, the atmosphere gives you a feeling of platform game for teens/adults, i would imagine the main audience for this is boys age of 12 to 19. There is a lot of battling and slashing and ripping your enemies, but it is not done in realistic manner at all... Only few enemies you fight resemble human.
The story is way overrated thought, its just mythology turned upside down, nordic/germanic gods are turned to villains and nordic/germanic villains are turned to good guys ( For example in this game the Aesir god Thor and Baldr are ""bad"" and the giant serpent Jordmungadr is ""good"" ) so basically it just gives your kids a twisted history lesson, kind of if you made a christian game and made Jesus the villain.
Oh and there is quite a bit of swearing, done by a specific dwarf ""Brock""
All in all, nothing that a 14 year old kid couldn't handle, they have seen A LOT worse in movies. I would rate it even lower, but i think it gives you wrong idea of nordic mythology, so i think you should be 14 to understand that it is just a game and not a lesson in nordic mythologies :)",""
"God of War (2018)","age 17+","The game does have killing but NEVER humans just monsters. As a die hard god of war lover, I can tell u this is good for ages 13+ because its not super violent as the other god of war games where all u do is kill people for vengeance and have sex with women for points. in this game (the latest god of war) there is no sex AT ALL, its not about killing people for hate, just monsters in order to finish kratos duty as a father to mentor his son into not being like his old self, and that's really it. The kills for monsters are NOT gory as people think, there is rarely any gore shown when u kill monsters and even when u do, its not extreme at all, its mild gore tv-ma level, this is nowhere near mortal kombat or bloodborne gore. There is no ripping hearts and heads off, u just kill monsters/creatures with axes and arrows. The game doesn't teach about war its just a father and son bonding moment for kratos with his kid.",""
"God of War (2018)","age 17+","for all ages, fantastic game with a different but still fantastic story line.",""
"God of War (2018)","age 17+","I was worried that this game would be sex infested such as other games like GTA which I would never let my son go near. However after my son persuaded me to buy this game for him I watched very closely and soon found out that there was no sex or anything vulgar scenes. Rather, the only reason this game is an 18 is purely down to two reasons. Firstly there is a lot of use of the ""f"" word and ""sh*t"" which are the only two vulgar words he used and next the violence. In the game he battles monsters and gods who do not resemble humans in any way to protect his son. He kills them with axes and with his fists in meelee combat and there is blood. However there is no more blood than would be in the game Bloodborne for example which is a 16. I understand that at some stage this game was originally a 16 but had moved to an 18 due to the repeated swearing which as a parent can accept that my children have sworn many times. Overall I think this game really is suitable from age 14 up and finally quick mention, you can turn the blood off in the settings.",""
"God of War (2018)","age 17+","I lbought this game for my two sons (12 and 14). One of them asked me for it as a birthday gift and I hoped that this would be a appropriate game. My sons really loved myths and the Percy Jackson series so I expected this to be ok for them. I decided to poke in and check the game out, just to make sure that it was ok. I recognized only little language (barely any at all) but, violence was a key factor. There wasn’t to bad of violence though because the blood was colored blue and orange which really changed things up. The main character though is really just fighting to protect his son that he really loved and your really on killing made up creatures. In the end, this game is great for people who will enjoy a story.",""
"God of War (2018)","age 17+","God of war 4 is a really good game,there isn't that much gore and little to no swearing,the game can be difficult at times but for the majority its fairly easy.Its really nice to watch the relationship between Kratos and atreus grow over time as well",""
"God of War (2018)","age 17+","I typically wait until the end of the story and ask myself, “what did I learn?”. Never have I needed to think carefully from the very beginning of a story and think how this applies to me.
Yes, the combat is fluid and epic, with a need for careful planning on how to approach battles, but more importantly, for me, is the relationship between father and son.
Although I don’t agree with some of the ways Kratos (the main character) teaches his son, I can appreciate that he’s trying really hard. And I love that the story is surrounded by themes of learning self control, discipline, respect, and mentoring. These themes are rare in video games and creators executed them beautifully.",""
"","","","While God of War used to be an ultra-violent and gory video game series, the latest entry has changed a lot. Not only has the violence been toned down a lot, but the game now has a more mature storyline. In the first few games, players were tasked with hunting down gods from Greek mythology and killing these deities out of hate. God of War 2018, on the other hand, features a main character who wants to scatter his wife's ashes with his son. Kratos (the protagonist) seeks redemption for the violence he has committed.
The content is still violent, but decidedly less so. There is no drinking or use of substances. There is some minor swearing, such as b****, but any bad language is kept to a minimum. There are no sexual scenes."
