review,label
"Although the movie is not that good, the game is actually very entertaining! There is violence, especially with the machine guns, but no blood shown. For a game that is based on a terrible movie, it is pretty fun!",0
"I am disappointed that there are guns and shooting in this game. I told my mom to buy this for my son for the holidays because he likes cars and I was looking for a racing game for him. He instantly loved the racing part, but after a couple of rounds the races became violent with him activating bombs and machine guns and shooting down and blowing up other cars. I was so mad! I have tried very hard to monitor in what way my kids are exposed to guns and violence so that we can discuss it properly, and I was caught off guard with this one. I guess I didn't dig deep enough before making the assumption that Disney would be appropriate for my 7 year old.
On the other hand, he is absolutely in love with the game and is having a blast playing it...I just wish I could feel as good about him playing it. Of course it opened discussion about guns and violence and cartoon violence versus real world violence, but he is 7 for crying out loud...why are we having to have this conversation...kids are growing up too fast these days...and the media isn't helping us shield our children from the very real violence of our world.",0
My children and I have had a great deal of fun playing this together. It has a surprisingly solid co-op mission system with well designed boss battles.,1
"although this game is fun and entertaining, the fact that we have to buy gold coins to continue to play is a rip off. My son, whom is 8 years old is frustrated because he can't progress forward in the game without getting gold, which costs money, real money not play money.",1
"Recently, I got the directions cut version of this on the WII U and it is violent! 1. You can kill anyone you see and any gruesome way you want. 2. Prostitutes are shown in brothels. 3. Drugs are discussed causally and a the start a man is smoking weed.
Overall, not at all appropriate for kids and infants.",0
"I don't think this game is that bad for kids, the violence is there but not as violent as other games, you can shoot any person but it will have a bad consequence for your character. I played this using stealth all the game and also the game gives you the option of not killing guards but to leave them unconscious, it is a great game but it all depends on how you play it, how bad it will bee for your kid. You can take decisions that will make people die or lie in your own benefit but you can always do the right thing. It's all about choice.",0
"This game is for a mature audience. But not just because of the violence, language, and innuendo. The game contains several themes (globalization, trans humanism, greed, etc) that are too complex for kids. Nonetheless, get this game. Parents, know that Adam can take down enemies non-lethally.",0
"The most ambitious and compelling game I have ever played, and I think everyone mature enough to play it despite the mature content should witness a virtual world pretending to be just a game.",1
"Great game. Violence, but game doesn't dwell on it, some swearing but NO sex",0
"This game isn't as inappropriate as the esrb or commonsense media say. The sex is nothing, with the worst thing walking into a brothel for certain missions. The language is not often there, and is only bad occasionally. The drinking is discouraged, and has absolutely no perks, so its not bad. The only thing is that when you choose to use violence, it has some blood. You can also use you augmentations to kill people, making it more close up. Still, its really not that bad, with just as much blood as some T games like ghost recon. Thats why i think anyone 12 and up is fine with this game.",0
"This game is on the milder side among M rated games. Although common sense media exaggerates everything, this game is not that bad. There is no forces violence, and when violence is chosen, its quick and nothing gruesome or all that bloody about it. Also, its easy to die in this game, so its not likely that violence will be chosen anyways. Like all other reviewers on this site, I agree that there is absolutely nothing to be worried about sex wise. Theres no nudity, no sex, and the worst thing you can do is talk to a prostitute and have her compliment your augmentations, which are basically machine transplants that make you superhuman. The drinking is discouraged, so thats not a problem. The only potential thing is language, and while when they use it, its fairly strong, with a couple of f***s and s***s and some other weaker things like b****** and b****. But hte thing is, is that its not used often at all! Really, I think that anyone 13 an dup would be fine with this game.",0
"This game is appropriate for kids 13 and up. The only real reasons that there would be any worry about kidss younger than that is the violence and language. The violence is only a problem for really young kids, like 7 or 8, where they might not realize that violence is bad. Its not really a problem for kids older than that because you don't have to use violence and its usually encouraged that you don't. I think the language could be a problem for people younger than 13 because while they probably hear and use worse language, the use of it in video games just reinforces it even more. I think thought that at 13, kids really don't think anything in video games should affect the way you act. The only thing I really don't think is a problem is the sexual content. It says that its there, but even if a kid did think that video games could be taken as real life, there wouldn't be anything to desensitizr them. Great game for teenagers",0
