"selection1_name","selection1_selection2","selection1_selection3"
"age 7+","There are pros and cons to this site. First of all, if you're thinking since it downloads software it downloads malware, you're wrong. It's a safe download, and if you have any trouble downloading there's plenty of help to be found. As for the benefits of this site, it's a very good learning experience for your children. They learn about business and buying/selling, they learn how to create games with the easy to find and very detailed game creation tutorials and scripting tutorials, putting them on the path to learning programming languages (The one used in this site is called ROBLOX Lua, it's excellent), and they learn about how to keep and stick to a budget. There's the option to upgrade your account to Builder's Club, and there are plenty of features to be used with this. However, the site also has some flaws. It's very easy for younger children to end up on phishing sites from bot-accounts made by the owners of those sites. Before allowing your child to make an account, make sure they are aware of web-safety and how to keep their account from being stolen. If your child is educated on web safety (Which they should be educated on before being allowed to browse the internet), there are no concerns.","Adult"
"age 7+","I know what your thinking... WHY 7!!!!! I tell you why now.. Ok yes.. There is some killing.. And in some games its like blood... But the blood is transparent red sqaures.. And deaths are just your person falling apart... Its like sliding de-attatched legos across a floor... But there is LOTS of game that arent inappropriate... Such as the Hide and seek in a giant house, Obstacle corses, Roleplaying, And building games... See? I think roblox isnt that bad.. Its just like LEGOS!!!","Parent of a 9-year-old"
"age 6+","My daughter plays ROBLOX all the time. I decided, as her parent to look into it. I found that it is free unless you want a membership. If your child is interested in programming, then you have hit the jackpot. IN this game, you can create games for others to play and play games others created. I highly recommend you have your child play ROBLOX","Parent of a 9-year-old"
"age 6+","i love roblox i have obc and it is fine and good to play","Adult"
"age 12+","ROBLOX is a very educational game and inspires kids to learn. Moderators do a good job of monitoring the site and generally keep it safe. Violence is frequently seen in games, considering that this is the type of audience that the game caters to. Privacy is only an issue if kids are not taught to be safe. In many instances, people have complained that their kids are not safe because users try to get personal information from people. Although this does not often happened, and is exaggerated by parents, the fact may be their fault because they are leaving their kids uneducated; this is probably the main reason that privacy is an issue. Another complaint that many parents had was the online dating factor. The site does NOT support online dating, and will take moderation actions on kids that pretend to have ""girlfriends"" or ""boyfriends."" Language is not an issue at all. In game chat filters, as well as over the website, there are filters that filter any language besides the minor ""hell"" that players might try to shout out. Disguising of language to try to bypass filters is looked for by moderators, and is most always found and punished. The final issue is consumerism. This is probably the most major issue on Roblox. There are MANY ads that link to different companies which are place in banners and rectangles all over the site. Parents should know that users can also create their own ads to solicit items that they have created which feature images and captions (which are both moderated). Also, ROBLOX has recently been showing video ads for different companies before users enter a place (these companies are generally ones such as insurance, phone carriers, car companies, and etc. that advertise).
Although Roblox does have its flaws, it is mostly a friendly game that encourages children to build and program. Issues are only minor issues that can be found in a game as friendly as Disney's Club Penguin, but are over-exaggerated often. ROBLOX is probably best for kids in their early teens and up.","Adult"
"age 8+","My child has played Roblox for 3 years now. And it's very easy to tell that you guys took one look at it and decided to write a scathing, lying review.
1. Do not blame Roblox for the games YOUR CHILD decided to play. If your child plays a game and you don't like it, don't let them play it. Don't blame Roblox for a violent game.
2. Do not blame Roblox for players that are rude. THEY'RE the people
that should be reported. Not Roblox.
3. The chat filter is working and if anything, it works a little TOO good. And don't say people curse with numbers because they block numbers too.
4. Many games on Roblox have good messages. Such as Piggy, a game that encourages teamwork while you gather keys and certain items to escape the piggy. Or Welcome To Bloxburg, a game that shows what it's like to be an adult with a job and bills.
5. Roblox does NOT ask for money. THE GAMES do. If your child plays a game that is plastered full of game passes and in-game items, of course, they will want them. So simply don't let them play them!!
6. Yes, there are bullies on Roblox. But there's a little something called LEAVING THE GAME or BLOCKING THE PLAYER that you could do instead of blaming Roblox.
7. Roblox is not an addicting game, my child has never had any problems managing his time on Roblox.
8. And if Roblox just isn't the game for your child, DONT BLAME ROBLOX FOR THE FACT THAT YOUR CHILD DOSENT LIKE IT!!!
9. If you get scared your child is going to encounter a child predator, dont worry, words such as ""where do you live"" or ""whats your number"" and Numbers themselves all turn into ""###############"" . Also, its super rare for something like this to happen, anyway.
10. The violence in roblox ISNT EVEN ACTUAL VIOLENCE. There is no blood, no gore, just your character falling into pieces like lego characters.
11. There are settings you can change for both account safety and account privacy, one of them can restrict your child's ability to use the in-game chat feature, but that defeats half the purpose of roblox, i suggest only using this if your child has a real encounter with a child predator, creepy person, or your child is very young, like 4 or 5 years old.
12. And let me say this up front. YOU. NEED. TO. WATCH. WHAT. YOUR. CHILD. IS. DOING. Simple as that.
13. Roblox is USER GENERATED, meaning that most of the stuff that's on the platfrom is made by people who play roblox, not roblox itself. So Roblox isnt to blame for games with cartoon violence or iffy stuff in the slightest. Roblox tries very very hard to moderate their content and karens tend to not care.
Thank you for reading and I hope you found this educational.","Adult"
"age 8+","I would recomend to kid odler then 8 but my 5 year old stepsister plays it with no consern. Roblox gives a chance for kid to grow and devolpe in a creative envierment; it is a great game for kids to play, explore, learn, and advance in this way I would highly recomend Roblox to anyone.","Parent of a 5-year-old"
"age 6+","ROBLOX is a very good game, if you know what you're doing. I recommend, if your child is too young to know most right from wrong, then monitor the child's account. If a user's account is detected to be under the age of 13, ROBLOX automatically filters words such as ""idiot"", ""crap"", etc. (I think) to make it safer for the younger audience. Also, in the settings, you can change who can message the child, who can chat with the child, etc. If you truly know what you are doing, and you are willing to monitor your child's activities, then ROBLOX is a great game for them to open up their imagination. I suggest, if you want to make sure your child isn't playing games that they shouldn't be, e.g. shooter games, robbery games, etc. then every so often, just for a few minutes, go on their account, and on the home page you can see their ""Recently Played"" games. To see all recently played games, you can click the button to the right of that title that says ""See All"".
Overall, I believe ROBLOX is a great game for children to play, as long as they are mature enough to know right from wrong. And if they are younger, then I'd say it's still good for them to play too, as long as you are monitoring their activity on it, and you make sure they know not to play games that you wouldn't approve of, and you can in the settings change who they are aloud to interact with.
Also, a side note, ROBLOX has a parent page here: https://corp.roblox.com/parents/
I highly recommend reading it, as it tells you lots of important information.","Adult"
"age 2+","basically the bootleg version of leggo.","Adult"
"age 7+","Roblox is the BEST.
My daughter loves it.","Adult"
