label,title_review
a,It’s too scary It's funny but the Car never has any clothes on and it's too scary
s,"A GOOD RACING GAME!!! Although the movie is not that good, the game is actually very entertaining! There is violence, especially with the machine guns, but no blood shown. For a game that is based on a terrible movie, it is pretty fun!"
s,"Great game! I think this game is great! My husband, son, and I can all play together as a family and have a great time, it's fun for everyone. Yes, there is violence- shooting other cars, knocking them off track, etc. But the cars don't ""die"", they just lose spots in the race and have to catch back up. If your child can grasp the difference between video game and reality, if you have an open dialogue about violence in your every day lives, and if you thought the Cars 2 movie was appropriate for your kids - go for it!"
a,"Son loves it, but too violent I am disappointed that there are guns and shooting in this game. I told my mom to buy this for my son for the holidays because he likes cars and I was looking for a racing game for him. He instantly loved the racing part, but after a couple of rounds the races became violent with him activating bombs and machine guns and shooting down and blowing up other cars. I was so mad! I have tried very hard to monitor in what way my kids are exposed to guns and violence so that we can discuss it properly, and I was caught off guard with this one. I guess I didn't dig deep enough before making the assumption that Disney would be appropriate for my 7 year old.
On the other hand, he is absolutely in love with the game and is having a blast playing it...I just wish I could feel as good about him playing it. Of course it opened discussion about guns and violence and cartoon violence versus real world violence, but he is 7 for crying out loud...why are we having to have this conversation...kids are growing up too fast these days...and the media isn't helping us shield our children from the very real violence of our world."
s,Nostalgia. has quite a few explosions (not that bad) and is quite easy to learn.
a,"Great game THe message is if someones a meanie, shoot dem with ur machine gun or explode dem"
s,"Not horrible,but the movie is WAY BETTER! OK,this is a sort of entertaining game,but it gets boring WAY TOO QUICKLY! I wish the game stayed FUN!"
s,"Can kinda get boring, don't you think? This is really not a bad game, but this is a ripoff hot wheels: beat that game, and the graphics are not as good as the first Cars game."
s,"Cars 2 needs a refill It's the best movie licensed game I've played (it barely escaped the barrel), but compared to others, that doesn't say much. The cars are very unstable and hard to completely control, the weapons are pretty much useless, and Lightning McQueen barely cracks a single ""Ka-chow!"" in the game, despite the annoying number of times he says it in the movie promos. ""Bonus stages"" where you have to kill cars lacks good AI, and the product placement alone (movie and game) is an unfamiliar jerk away from the classic theme in the original. I wouldn't fully recommend this game, but for desperate game-night families, it's worth a go."
a,"Nice, but, Some Violence"
s,"Cars 2: the Video game! -- FUUUN! This game is to me, VERY fun! You get to do multiple things, you can do free races, lessons, and battle races, which have weapons along the way that you can shoot at other racers to get ahead. And you can do up to 4 players in any game! I would suggest renting this game from Redbox or something because it depends on who rents it if they like it or not. I personally really enjoyed it and so did my dad, and sister. If you like any type of racing game, or enjoyed Cars 2 the movie, I would definately try this one!"
s,Cute game! It's actually REALLY fun! Great game for kids. Some explosions.
s,"Fun, exciting, then it whines down very slowly. Now this game isn't too violent, but you can see cars flipping out of control and machine guns called machine guns and act like machine guns, and ARE machine guns... But still the racing is exciting, fast... But then slows down with the stupid controls.
I like the mariokart style wiimote tilt control, but to backwards drive you must press down on the D-pad, but you must also hold down for 3-4 seconds until it works...
CONCLUSION:
Before buying this, rent it first, I liked it but still it seemed boring (Maybe due to lack of hub world i loved in cars the game) Another thing is this game also uses internet interactions with the world of cars online, that extends the lasting appeal."
s,dsdsaddsjfhsbdjkcisozdnov It's Glitched at the end.
a,"Extreme combat racing follows the movie's main storyline! Love it! Awesome! If you like the movie, then you'll love the game. Lots of gunfire, explosions and weapons are used. The game's storyline is almost the same as the movie. The game actually takes place after the movie. Some levels in the game don't even have to do with racing. Some have to do with hunting down ""bad guys"". Some also have to do with surving an attack by collecting ""batteries"" to keep your ""shield"" activated. There is also one multiplayer game called ""Disruptor."" The object of it is to collect ""bombs"" to place in the opposing team's base, to destroy it. So as you can see, it's not just a racing game. It's a spy game. Kids 10 and up can play. Anyone under 8 might find it either too hard to play, or too violent. The game has simple controls. The Wii version gives a more realistic driving experience by letting you tilt the Wii remote to steer left and right. Therefore, it is a little bit harder to steer. Although, that isn't the only control you can use. You may also use it with the nunchuk or the classic contoller. You can even use the Nintendo Gamecube contoller. If you are looking for a good action racing game, then this is the way to go."
s,Great Free-To-Play Superhero Game My children and I have had a great deal of fun playing this together. It has a surprisingly solid co-op mission system with well designed boss battles.
s,"fun but frustrating. although this game is fun and entertaining, the fact that we have to buy gold coins to continue to play is a rip off. My son, whom is 8 years old is frustrated because he can't progress forward in the game without getting gold, which costs money, real money not play money."
s,"Great for Kids 8+ Mild violence, fun characters to play with!
Great game but don't take my word for it.
play now! at hero up . com"
s,"SHSO Review It's a fun and easy MMO to play, simply? What more can you ask?"
s,"Not that violent There is no blood, death, or any things that are TOO violent.
However, there are a little bit of violent like hitting and kicking and using weapons. But for a 9-year old it's not very scary.
It is educational when your kids burst your creativity by customizing their very own HQ and pick a silly username.
- Lily Schultz"
a,"IF YOUR TEEN IS MATURE, THEN GET THIS GAME! Recently, I got the directions cut version of this on the WII U and it is violent! 1. You can kill anyone you see and any gruesome way you want. 2. Prostitutes are shown in brothels. 3. Drugs are discussed causally and a the start a man is smoking weed.
Overall, not at all appropriate for kids and infants."
a,"It's all about choice I don't think this game is that bad for kids, the violence is there but not as violent as other games, you can shoot any person but it will have a bad consequence for your character. I played this using stealth all the game and also the game gives you the option of not killing guards but to leave them unconscious, it is a great game but it all depends on how you play it, how bad it will bee for your kid. You can take decisions that will make people die or lie in your own benefit but you can always do the right thing. It's all about choice."
a,":) This game is for a mature audience. But not just because of the violence, language, and innuendo. The game contains several themes (globalization, trans humanism, greed, etc) that are too complex for kids. Nonetheless, get this game. Parents, know that Adam can take down enemies non-lethally."
a,"A world, not a game The most ambitious and compelling game I have ever played, and I think everyone mature enough to play it despite the mature content should witness a virtual world pretending to be just a game."
a,"Cjgr Great game. Violence, but game doesn't dwell on it, some swearing but NO sex"
a,"Violent, but not too violent This game isn't as inappropriate as the esrb or commonsense media say. The sex is nothing, with the worst thing walking into a brothel for certain missions. The language is not often there, and is only bad occasionally. The drinking is discouraged, and has absolutely no perks, so its not bad. The only thing is that when you choose to use violence, it has some blood. You can also use you augmentations to kill people, making it more close up. Still, its really not that bad, with just as much blood as some T games like ghost recon. Thats why i think anyone 12 and up is fine with this game."
a,"language is the only bad thing This game is on the milder side among M rated games. Although common sense media exaggerates everything, this game is not that bad. There is no forces violence, and when violence is chosen, its quick and nothing gruesome or all that bloody about it. Also, its easy to die in this game, so its not likely that violence will be chosen anyways. Like all other reviewers on this site, I agree that there is absolutely nothing to be worried about sex wise. Theres no nudity, no sex, and the worst thing you can do is talk to a prostitute and have her compliment your augmentations, which are basically machine transplants that make you superhuman. The drinking is discouraged, so thats not a problem. The only potential thing is language, and while when they use it, its fairly strong, with a couple of f***s and s***s and some other weaker things like b****** and b****. But hte thing is, is that its not used often at all! Really, I think that anyone 13 an dup would be fine with this game."
a,"Not bad at all Honestly, this game is not bad at all. There is only as much violence as the player wants there to be, and even then, its not as much as call of duty or halo. There is curses, but only in fights, where the player is too busy to really pay attention. there is absolutely NO sexual content what so ever, and when you drink, it only has negative effects. The only reason i would reccomend that only people over 12 get this game is because people younger than that probaably wont understand the plot. It really is not bad at all."
a,"There is no sex This game is appropriate for kids 13 and up. The only real reasons that there would be any worry about kidss younger than that is the violence and language. The violence is only a problem for really young kids, like 7 or 8, where they might not realize that violence is bad. Its not really a problem for kids older than that because you don't have to use violence and its usually encouraged that you don't. I think the language could be a problem for people younger than 13 because while they probably hear and use worse language, the use of it in video games just reinforces it even more. I think thought that at 13, kids really don't think anything in video games should affect the way you act. The only thing I really don't think is a problem is the sexual content. It says that its there, but even if a kid did think that video games could be taken as real life, there wouldn't be anything to desensitizr them. Great game for teenagers"
a,"milder than most This game has many different things that could be considered inappropriate, but in milder ways than other games. For example, it has violence, but it doesnt even have to be ussed. It also has language, but its only used by enemies, in battle, meaning your not even paying attention to it. It has drinking, but it just makes the game harder, encouraging not to do it. Its also rated M for sexual content, but there really is none so it doesnt matter. all in all good for 12 and up"
a,"good game Anyone whos says that this game is violent is stupid. You don't have to use any violence if you don't want to, and when you do it really not that bad. Also, the sex. honestly, there is absolutely no actual sex related content in the game. You can be around people or things that relate to sex, but since you don't actually do anything sexual in the game, i don't think it should really affect anyone. The only problem is language, which is there, but still not as bad as gamkes like black ops. So if your kid is under 11 or 12, then the language would be a problem but otherwise, its not bad."
a,"13 and up This game is very interesting, because it does not require that the player uses any violence. Even when the player does choose to use violence, like in most games, there is blood, but its really just a quick spray that is there is then's gone two seconds later. There is also some language, and if your kid is below 13, it's inappropriate. But honestly, teenagers hear worse from others,and probably say worse in one hour than you do in the entire game. There are also drugs and drinking, but personally, i don't believe that that sort of stuff affects children. An d even f it did, then there would be very few drug addicts out there because of all those ""above the influence commercials"" all in all, a very good game appropriate for 13 year olds and up"
a,"Not just another futuristic shooter. Playing this game, I wished several times that there was an option to turn off some of the swearing, since it felt unnecessary. The game can be played non-violently, and when done that way, there are ample opportunities for you as a player to make choices about how your character will handle both conversations and potential fighting situations.
I think that some of the philosophic issues raised in the game can make for good discussion, but that would require your kids to be interested in examining and discussing how different sets of morals and ideals can both seem valid, but also clash with one another.
Since there's no option to turn off blood or ease off on the language, I think the M rating is appropriate if you're not interested in watching or discussing the game with your kid. If you do like to talk about games with your kid, and enjoy a decent story in your games, you could go a few years younger, down to 14-15; in that case though, I'd say make sure to play the game yourself so you're familiar with the story enough to ask questions about how things are going."
a,"CSM over exaggerating again. Deus Ex Human Revolution is an futuristic rpg which follows the shoes of Adam Jensen. I originally played this on my Wii u a little while back and I decided to check it out again and it’s not that bad. There is violence but it’s not over the top like fallout which I have reviewed on CSM before. There is some blood and you can kill innocent people but there a consequences for you actions in this game. There’s some swearing and drug references but there’s not much sexual content at all. The only thing is some missions taking place in a brothel but NO sex. I still think it should be for teens since the messages are quite dark such as greed and corruption. CSM got it wrong, it definitely not 18+ but recommended for teens 14+. Adam is a good role model as well as he is trying to save the people he loves before it’s too late."
s,my vision is augmented. deus ex is a game about choices. play it.
s,"You're gonna burn, alright. Ever since the original Deus Ex released in 2000, it has been a standard for the RPG genre, and Human Revolution is no different. Although it is a simpler and more consumer-friendly rendition, its elements remain the same. Get this game!"
a,Good story and gameplay Deus Ex: Human Revolution offers a great story and gameplay. You can see a lot of blood if you kill with the takedown moves in the game. Anyway it is a great game play.
s,Very good game. Game is very well done. Just amazing.
a,"Fantastic RPG delivers a hard, moral, and sometimes mature game. REVIEW: (content info below)
The graphics are ok, sometimes tinged too yellow or making the protagonists shoulders appear extremely wide, but who cares when the game in question is so good the only thing you can complain about out the graphics (witch are not even that bad.) Dues Ex Human Revolution is one of the most interesting RPG games players are liable to encounter. It ousts the bobble headed cartoony ones and outshines even the more likable RPGs simply because of its difficulty and stealth forced gameplay. There is no such thing as a tank (class) in this game, this is a stealth RPG, something that is uncommon for the genre. The gameplay is enjoyable, suspenseful (especially on the harder difficulties where several bullets can spell your death. Ammo is rare, almost more so than weaponry, another element that forces a stealthy play style. If you get frustrated easily you may consider over looking this game due to the fact that you most likely will spend hours completing a single objective (a major one not minor.) Dues Ex grabs your interest with its unique gameplay, plot, and open world.
CONTENT:
While Dues Ex may be an enjoyable experience for a stealth or RPG oriented gamer, it does contain some questionable content. Language is common ranging from the overlooked ""danm"" to the jarring F bomb (the latter is much less frequent though) Violence isn't much of an issue, there is blood but its minimal. If your morally inclined to be non-lethal (like me, a paradoxical existence for any action gamer) you will be overjoyed that early in the game you are given the option between Lethal or Non-Lethal, though you may be forced to use lethal weaponry because of the lack of ammo, instead of pursuing the more difficult stealthy route. Sexual content is also an issue, while it is not a major problem, you will encounter some iffy dialogue or outfits (never to revealing.) The games bad content can be outweighed by its great gameplay, but the decision is up to the parents, I just advise."
a,"Great game for Teens This is a superb game with a fantastic and engaging plot.
Violence: 6.5/10 Game has lethal weaponry such as guns or non lethal weaponry such as tranquillizer rifles, and the player has the option to either knock out or kill their opponent. I'm only giving this 6.5 because this game focuses on stealth and skilled players can beat this game without having to knock out or kill anyone.
Sex: 3/10 You never see anyone having sex, but there are prostitutes in some areas, but you can't actually do anything dodgy. There is a hotel that has hot girls dancing around a pole in tight clothing, but nothing too revealing.
Profanity: 7/10 There are quite a few f*cks in this game as well as sh*t, damn, b*tch. I would say that a teenager would be able to handle this well though.
Drugs and drinking: 4/10 There is an option to buy and consume alcohol, and the screen goes fuzzy. Several people smoke in the game, but as this is in the future it is not revealed if they are smoking tobacco. In the game people who are augmented with cybernetics rely on a drug called neurophozeyne. If they do not take this drug for a long period of time their body stars to reject the augments, so I guess there is some dependence on drugs.
Difficulty: 4/10 The controls are fairly easy to pick up on. The stealth game play can be tricky at the start but you get better at it as you progress.
Overall rating: 4.5/5 I thoroughly enjoyed this game. The game play style is unique and I loved the RPG elements of it, allowing you to have several outcomes to a situation. Overall there are twelve different endings to the game, meaning there is lots of re playability. You can chose the style you play, run and gun or stealth. Great game about 25 hours long."
s,"This Game is Amazing Game Review
First of all this is a cinematic game which explores the themes of what it means to be human but the boss fights are screwed up.
Dear
Common Sense Media
You guys have no clue what the average 11 year old says on voice chat. Theres enough racist slurs you would think the KKK was recruiting throughout the servers and enough homophobic slurs for the Westboro Baptist Church to call them out on it.
This game has none of that. You have a cinematic story which you can choose how to advance it. You can talk a terrorist out of commiting the act of terror and let him run away or you can shoot him on the spot so why does it get a 17+ rating. Because you guys have no sense of what makes a good game just let the community review not you guys."
a,"wow why??? It's a fine not really fun .
There are full of violence , for example : kill himself , swearing and more ....
I played one stage and stopped the blood from disgust
There is swearing and sex have not seen
He smokes all the time try to write deux ex earns pictures and see how unbelievable smoking
Do not buy!!!!!!!"
