author age,recommended age,review
"Teen, 17 years old",age 7+,Kids dont listent to the parents saying ''ThIs GaMe HaS sWoRdS tHaT mEaNs ThErE iS vIoLaNcE'' there is no violance but its good to not play all day play like idk 2 hours.I think minecraft is a child friendly game and is open to all ages thats my opinion.
"Kid, 11 years old",age 2+,I have been playing this game for many years and I have never gotten scared or had nightmares about the monsters and “violence”. There is no blood or anything very gruesome. All you do is hit the animal/monster. From Minecraft I learned how to build great houses (not that great :( ) and it allows me and my brother to be creative and build.
"Kid, 12 years old",age 7+,The game is great with no true inappropriate things
"Teen, 13 years old",age 5+,Are you sure you got common sense. I would give this game 3 MILLION stars! 7 dollars isn't a lot of money!
"Kid, 10 years old",age 5+,IDK WHAT TO SAY BUT DIS IS DA BEST GAME EVA
"Teen, 13 years old",age 6+,"This game is awesome with creativity, a way to build your own army of wolves and monsters to hunt, it is awesome and there is no blood so no violence and it allows you to express yourself with TNT. whats not to love. This game also has PG violence and U violence at the same time, you can venture into hell or just build structures, it is your choice."
"Kid, 10 years old",age 7+,"GREAT game. Educational, but on some servers parents should turn off chat because some people post bad words and things like ""do you want to have sex""
YES, THESE SERVERS DO USE FILTERS ON CHAT, BUT SOME PEOPLE MOVE AROUND THESE RULES. But overall, mine craft is awesome!"
"Teen, 13 years old",age 8+,That Minecraft is the best educational and creative game ever!
"Teen, 13 years old",age 8+,It has added lots of PC features. But I still can't find a village! You can have dogs that teleport to you and spawn monsters in creative mode!! #1
"Kid, 9 years old",age 17+,Build a world and whatever you want.
"Kid, 10 years old",age 7+,
"Kid, 9 years old",age 5+,"I think this is a very good game. I have been playing it for about 3 years now and never had a nightmare of a bad dream. I think this game has no potential ""violence"" or ""scarynes"". I think this is a good game for building destroying and creativity"
"Teen, 13 years old",age 4+,This game is definitely worth the buy. It helps people exercise creativity and has so many possibilities.
"Teen, 17 years old",age 4+,"It is such a fun game, and it is perfect for children all ages!"
"Kid, 12 years old",age 5+,Great for all ages
"Teen, 17 years old",age 13+,My brother plays this game I seen him do some sketchy stuff on it he used TNT to explode a huge building
"Teen, 13 years old",age 6+,"This is a game that is all about being creative but still not wasting resources. In survival mode you can survive and create stuff, in creative mode you can build whatever you want. There is endless creativity with endless parameters. It is a fairly complex game so I would recommend it for ages 6 and up, but all in all its pretty simple, and has the goals of exploration and creativity. A must have educational game with endless lands, very little violence (You only kill animals, monsters, ect. to survive), and infinite possibilities."
"Teen, 15 years old",age 6+,"Minecraft PE is a great building/survival game with minimal violence. You can play one of two game modes: Creative and Survival. In creative mode you can not die and build anything you want from an unlimited supply of blocks. Neat-o. Nothing mature here. Then there's survival mode. In this mode you must collect recourses to build your shelter and must survive monsters in the night. The monsters are more comical due to their blocky textures and include pretty bizarre characters (you have your usual skeletons, zombies, and spiders but also have unique character such as creepers [creatures that blow themselves up] and endermen [a tall monster that can teleport around the map]). You can kill these creatures with swords/bow and arrows, but there is no blood (they only jump back from hits) and disappear instantly when they become deceased. If you play in the multiplayer mode, you can kill human characters, but they have the same mild death animation. I would allow a four year old to play creative mode, but I would recommend survival mode only for kids aged six and up due to some mild violence."
"Kid, 9 years old",age 7+,"I love this game. It is fun to build things and mine. For kids 7 and under, I recommend only creative mode, but 8 and up should be allowed to do survival. If you let your younger child do survival, I recommend putting the setting on ""Peaceful Mode"" (no monsters at night.)"
"Teen, 17 years old",age 18+,Good
"Teen, 13 years old",age 5+,"best game ever, no blood, the ""violence and zombies"" are not realistic at all, teaches you some stuff about real life and fantasy at the same time, creative mode just builds creativity, mojang's biggest masterpiece ever!"
"Kid, 9 years old",age 2+,But laggy
"Kid, 12 years old",age 8+,"Parents say it has killing and is violent, but not really. You can play in creative mode, which is meant to easily build things. Or, you can play on survival, where you survive. You kill animals for food, but it is not violent."
"Kid, 10 years old",age 5+,Minecraft is a great game that is easy to play but very fun. The is nothing bad about the game but the is a tiny bit of violence in it but nothing to be concerned about.
"Teen, 13 years old",age 5+,I think that Minecraft PE is a little harder than PC because the controls are harder to use. I recommend PE for younger kids because its better for them to play on.
"Kid, 11 years old",age 9+,"Minecraft is an amazing game, allowing you to create amazing things, if I could, I would give this app 3 Quintilian stars. I don't know what Karen decided that if it has swords, it's violent, I've never had a single nightmare about Minecraft, and I've been playing for years."
"Kid, 8 years old",age 8+,"Minecraft is an epic game about building, crafting, mining THE BEST EVER"
"Teen, 13 years old",age 3+,I Know a 3 year old who loves this game 8+ are you serious???
"Kid, 11 years old",age 2+,It encourages creativity.
"Kid, 11 years old",age 6+,"BudderPug's Review:
I grew up playing this game with my sibling, and we both loved it!
We would always get so excited when an update would come out. (Each update makes the game more advanced)
This is an amazing sandbox style game to get creative with, I recommend it highly."
"Teen, 13 years old",age 7+,Never played it? Give it a shot even adults love this classic!
"Kid, 11 years old",age 3+,"I think this app is appropriate for ages 3 and up, because it seems like a nice game to play and you can turn off the monsters from coming with the difficulty select. Overall, great app."
"Kid, 9 years old",age 7+,I love Minecraft! Awesome!
"Teen, 13 years old",age 9+,"So I am also concerned about privacy in Minecraft, but overall, I LOVE IT! But there is the Enderman, who freaks kids out with one loud static sound. But then, here's the part that doesn't add up: The game introduces childer to RAIDS. Yes, you heard me right, LITERAL, WHOPPING, REAL RAIDS. Thanks to that introduction of the terror-inducing raids, we get spawn eggs: Vindicator, Vex, Ravager, Evoker, and Pillager. Here are some things that are harmful to kids to be introduced to raids with these spawn egg characters.
1. The Ravager looks somewhat similar to a war elephant a Pillager, Evoker, or Vindicator can mount on.
2. The evoker during actual raids, can summon up these crocodile-looking fangs, called 'fangs'. This is not real to summon an attack spell in real-life raids.
3. The Vindicators and Pillagers have axes and crossbows. This introduces kids to harmful raid weapons.
4. The Vex are depicted as cute, ghostly-looking faires with a sword in their hands. Then, they turn creepy, and evil when they attack which may scare children. Like when the Evoker does a magic attack spell, this doesn't happen in real-life-threatening raids.
And thus this concludes the list and the review.
And on a positive note; I love Minecraft as much as I do when I want to play it!"
"Teen, 17 years old",age 2+,"you can kill pregnant people! You can shoot everyone! :D Only let 2+ play this game. You can get addicted to this satanic evil, hypnotic, ghost, shitty game. Play it with your grandad, sister, papa, dream, idc who it is.
Watch 5 year olds die, watch dead bodies rot! minecraft! the best game for kids under 5! So, uh, ah.. Ah yes! there are hot npcs like creepers, hot boys and girls..
so online date with the new minecraft! careful, it's expensive! There's some naked people, but there's also some math like 89+02+ pi so.. yeah, there's a math board next to one of the trees with a hot maid next to it, free feel to play! :D"
"Kid, 11 years old",age 2+,"This game is great, and y’all 9 quintillion year old boomers need to shut your pie holes for godred’s sake! But it minecraft does has lots of consumerism."
"Kid, 11 years old",age 2+,"Ahhh here we are again, ""My six Year Old sun is going to the nether thats bad"" Well guys really set limits on children's play, tell them to not do things you dont want, dont chat with strangers. Done good bye"
"Teen, 14 years old",age 7+,"the game wasn't intended for violence, the game is only for fun, and don't think there'll be blood because the only thing is the characters flash red and make noises, and it isn't that scary"
"Kid, 10 years old",age 4+,creepy enderman
"Kid, 10 years old",age 7+,"MINECRAFT IS GREAT!!! But parents are worrying too much. They think killing animals is wrong but it's just the game. I bet our ancestors killed animals right? So kids dont worry one bit about the game!! I love it and I started playing it around 6-7 years old!! Try out the game but if you dont like it, it's just your opinion!!"
"Teen, 13 years old",age 7+,"okay, first of all, this is the pocket edition of the game.
bruh.
And why do you keep rating good things only 4 stars?
anyway, pocket edition isn't AS good as the normal game, the layout is kinda weird.
But its good for people that arent scared of pixelated zombies. :D"
